,characteristics,rating,REF
2512,"dry, mild fruit",3.0,593
2513,"dry, nutty, cocoa",3.5,593
2514,"smokey, fruity, sour",3.75,593
2515,"fruit, strong smoke, bitter",2.25,1109
2516,"mild nutty and fruit, savory",3.0,1227
2517,"rich cocoa, spicy, cinamon",4.0,1848
2518,"nutty, rubber",3.0,1912
2519,"nutty, fig, short length",3.5,1912
2520,"strong malt, choco pudding",3.75,1916
2521,"intense, creamy, nutty",3.5,2346
2522,"flat, molasses, creamy",3.25,2406
2523,"dairy, caramel, brownie, nutty",3.5,2652
2524,"nutty, tart, coffee",4.0,741
2525,"brownie, fruit, fudge",3.5,769
2526,"mild fruit, chemical off",2.5,825
2527,"roasty, metallic, coffee",3.0,825
2528,melon,3.25,951
2529,"intense, bourbon",3.25,1042
2530,"creamy, woody, mild metallic",3.5,1042
2531,"sandy, intense, mild nutty",3.0,1243
2532,"short, tart, fruit, sweet edge",3.0,2656
2533,"salt noticeable, vanilla",3.0,1057
2534,"overly sweet, dirty",2.75,2374
2535,"nutty, basic cocoa",3.25,2374
2536,"coarse, sweet, candy, licorice",3.0,2378
2537,"burnt caramel, grapes",3.5,2518
2538,"sandy, earthy, hint of tang",3.25,2522
2539,"sandy, roasty, fig, late spiciness",3.5,2522
2540,"spciy, cardamom, off flavor",2.5,1948
2541,"sour milk, molasses, sweet",2.75,1948
2542,"nutty, fruity, sweet",3.25,2618
2543,"tart, cherry, cocoa, mild sour",3.5,2618
2544,"sweet, rich, cocoa, fruity",3.5,2618
2545,"sweet, tart, sour",3.0,2700
2546,"heavy smoke, fruit, ham",3.0,1574
2547,"nutty, earthy, hammy",3.25,1578
2548,"sandy, mild sour, mild fruit",3.25,1578
2549,"sandy, nutty, mocha",3.25,1578
2550,"rich base cocoa, sweet",3.5,1578
2551,"very sweet, heavy roast, nuts",3.0,1582
2552,"sticky, mellow choco, dairy",3.5,1820
2553,"sticky, off notes of rubber",2.75,1824
2554,"sticky, strong bitter, spice",2.75,1824
2555,"melon, mild tart, bitter, fatty",3.0,1824
2556,"smoke, tart, burnt cocoa",3.5,1824
2557,"tobacco, over roasted",3.5,1880
2558,"oily, honey, light rum",3.5,697
2559,"toffee, caramel, butterscotch",3.5,701
2560,intense prune and berry,3.75,701
2561,"smokey, dried fruit, balanced",3.75,1716
2562,"oily, sweet, choco, nutty",3.25,1780
2563,intense earthy,3.0,2044
2564,"large grits, sweet, dried fruit",3.75,2048
2565,"sandy, basic cocoa",3.25,2064
2566,"fatty, herbal, earthy",3.0,2230
2567,"woody, butterscotch",3.0,486
2568,"creamy, fatty, mild nutty",3.75,647
2569,"dairy, salt, caramel",3.0,749
2570,"creamy, masculine, earthy",3.5,749
2571,"oily, subdued, caramel, salt",3.25,781
2572,"oily, earthy, caramel, salty",3.5,801
2573,"dairy, burnt caramel, coffee",3.5,801
2574,"woody, toast, pepper",3.0,875
2575,"butterscotch, pepper",3.5,875
2576,"spice, caramel, toffee, salty",3.75,875
2577,"creamy, nutty, bready",3.0,879
2578,"hint of smoke, fruit",3.0,879
2579,"smooth, intense blueberry",3.25,879
2580,"strawberry, Cadbury egg",3.75,879
2581,"creamy, caramel, salt, sweet",3.25,883
2582,"smooth, spicy, floral",3.5,883
2583,"waxy, cloying, vegetal",2.75,1205
2584,"strong nutty, marshmallow",3.75,1996
2585,"fatty, earthy, cocoa",3.0,2036
2586,"fatty, mild nuts, mild fruit",3.25,2170
2587,"muted, roasty, accessible",3.5,2170
